,title,addr,score,lng,lat
0,버터램,서울 송파구 충민로 81-9 1층,4.5,127.126092230296,37.4799796022753
1,다운타우너 잠실,서울 송파구 백제고분로45길 3 1층,4.0,127.110665408994,37.5090376521908
2,갓잇 송리단길점,서울 송파구 백제고분로45길 4-14 트리비유 1층,3.9,127.111327410471,37.5096525962336
3,청와옥 본점,서울 송파구 위례성대로 48,3.6,127.11752964387,37.5153144419563
4,라라브레드 송파점,서울 송파구 오금로16길 4,3.9,127.109104693485,37.511132677323
5,해주냉면,서울 송파구 백제고분로7길 8-16 1층,3.3,127.079773391153,37.5096527123279
6,별미곱창 본점,서울 송파구 오금로11길 14,4.3,127.108893037866,37.5144572160495
7,고도식,서울 송파구 백제고분로45길 28,3.8,127.108659621805,37.5103537190732
8,청와옥 석촌호수직영점,서울 송파구 삼학사로 96,3.3,127.097455125368,37.5056889929139
9,몽중헌 방이점,"서울 송파구 위례성대로 10 S타워 20, 21층",4.2,127.113515347222,37.5167060932649
10,명인밥상,서울 송파구 송이로 157,3.1,127.125238187143,37.4931918951358
11,잠수교집 3호점,서울 송파구 송파대로49길 51,3.6,127.099210217137,37.5058860232901
12,봉피양 방이점 본관,서울 송파구 양재대로71길 5,3.7,127.12596891262,37.5101599312692
13,엘리스리틀이태리,서울 송파구 백제고분로41길 43-21 1층,4.2,127.104830874665,37.5086386035155
14,단디 송리단길본점,서울 송파구 백제고분로45길 7 1층,3.6,127.110331006425,37.5092209589804
15,함경도찹쌀순대,서울 송파구 송파대로28길 32,3.8,127.121302132414,37.4947357321517
16,배키욘방,서울 송파구 올림픽로32길 22-23 1층,3.2,127.108347915218,37.513491391018
17,평이담백 뼈칼국수 방이점,서울 송파구 위례성대로18길 31-12,4.5,127.125391852502,37.5092815256802
18,오레노라멘 송파점,서울 송파구 백제고분로45길 17-3 1층 102호,4.6,127.10942904496,37.5095574220903
19,툇마루밥상,서울 송파구 송파대로22길 11,3.6,127.123139942175,37.4879211374039
20,오향가 가락본점,서울 송파구 송이로 106,4.0,127.121376311855,37.4967607576032
21,군산오징어 잠실본점,서울 송파구 삼학사로 101 세준빌딩 1~3층,3.1,127.097001917858,37.5062829479541
22,마싯내,서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호,4.3,127.101200159498,37.5063702471446
