자전거도로입구명,지번주소,도로명주소,위도,경도
불광천1,서울 은평구 응암동 112-22,서울 은평구 불광천길 560,37.59886649,126.916648
불광천2,서울 은평구 응암동 113-35,서울 은평구 불광천길 536,37.59802529,126.9164094
DMC1,서울 서대문구 북가좌동 460,서울 서대문구 수색로 157,37.57636055,126.9032703
DMC2,서울 마포구 중동 390 청구아파트상가,서울 마포구 성암로11길 60,37.57434115,126.9016591
홍제천1,서울 마포구 성산동 595,서울 마포구 월드컵로 207,37.56463155,126.9009821
홍제천2,서울 마포구 성산동 390-1 월드컵공원관리사업소,서울 마포구 월드컵로 243-60 월드컵공원관리사업소,37.56368967,126.8983627
상암나루1,서울 마포구 상암동 1537-2,서울 마포구 마포나루길 332,37.5591692,126.8887804
망원한강공원1,서울 마포구 망원동 312-3,서울 마포구 마포나루길 386,37.55746848,126.8935854
망원한강공원2,서울 마포구 망원동 312-3,서울 마포구 마포나루길 386,37.55746848,126.8935854
홍제천3,서울 서대문구 연희동 169-24,서울 서대문구 홍제천로 206,37.57956265,126.9357228
홍제천4,서울 서대문구 연희동 171-5,서울 서대문구 모래내로 376-9,37.58249603,126.9377327
홍제천5,서울 서대문구 홍제동 334-192, ,37.58679771,126.9370867
홍제천6,서울 서대문구 홍제동 286-19,서울 서대문구 포방터길 29,37.59816679,126.9487927
용비교1,서울 성동구 응봉동 193-180 ,서울 성동구 독서당로60나길 8,37.54893168,127.0314776
용비교2,서울 성동구 성수동1가 685-20,서울 성동구 뚝섬로 273,37.54336854,127.041726
한양초1,서울 성동구 사근동 110 한양대학교,서울 성동구 왕십리로 222 한양대학교,37.55732897,127.0453985
마장동1,서울 성동구 마장동 437 마장동 먹자골목,서울 성동구 살곶이길 40 마장동 먹자골목,37.57138746,127.0411314
석관동1,서울 성북구 석관동 10 두산아파트,서울 성북구 화랑로48길 16 두산아파트,37.61300706,127.0683817
우이천1,서울 노원구 월계동 476-12,서울 노원구 광운로2길 45,37.61698306,127.0591691
우이천2,서울 노원구 월계동 476-24,서울 노원구 광운로2가길 1,37.61756125,127.0586191
우이천3,서울 성북구 장위3동 30-21,서울 성북구 한천로96길 32,37.61699624,127.057875
우이천4,서울 성북구 장위동 270-37,서울 성북구 한천로96길 8,37.61775204,127.0569562
우이천5,서울 노원구 월계동 935 월계주유소,서울 노원구 월계로 252 월계주유소,37.62465193,127.050589
우이천6,서울 도봉구 쌍문3동 103-150,서울 도봉구 우이천로 302,37.64482757,127.0289717
우이천7,서울 강북구 수유동 166-10 삼성빌딩,서울 강북구 도봉로101길 53 삼성빌딩,37.6442548,127.0279638
우이천8,서울 강북구 수유동 166-12 혜임빌딩,서울 강북구 도봉로101길 57 혜임빌딩,37.64439499,127.0279002
우이천9,서울 도봉구 쌍문동 422-65,서울 도봉구 삼양로144길 25,37.65188429,127.0143771
한강동아파트 입구,서울 강서구 염창동 293,서울 강서구 양천로73길 80,37.5540403,126.8741165
문래현대3차아파트,서울 영등포구 문래동5가 21,서울 영등포구 선유서로 6,37.51614452,26.88442196
안양천C축구장,서울 구로구 신도림동 271-64, ,37.51494542,126.8795677
시티스트릿츠,서울 관악구 신림동 497-22 1층 대흥빌딩 1층,서울 관악구 신사로 128-1 대흥빌딩 1층,37.48874123,126.9161475
버거킹 신림미림여고입구점,서울 관악구 신림동 1513-1,서울 관악구 신림로 141,37.47170266,126.9334487
현대빌라,서울 금천구 시흥동 982,서울 금천구 시흥대로 53,37.43957986,126.9019623
서초참요양병원,서울 서초구 우면동 791,서울 서초구 양재대로 54,37.46244685,127.0169827
대치우성1차아파트,서울 강남구 대치동 63,서울 강남구 영동대로 230,37.50050119,127.0691013
광나루한강공원,서울 송파구 신천동 257-1, ,37.52574302,127.1042606
풍납유수지공영주차장,서울 송파구 풍납동 387,서울 송파구 올림픽로41길 108,37.525268,127.1060241
잠실파크리오3단지아파트,서울 송파구 신천동 20,서울 송파구 올림픽로 435,37.5198928,127.1083497
카페 열하루,서울 송파구 오금동 139-12 빅썬빌딩,서울 송파구 성내천로 81 빅썬빌딩,37.50152763,127.1386279
카페 라메종,서울 송파구 오금동 138-6 1 2층 카페 라메종, 서울 송파구 성내천로 85 1 2층 카페 라메종,37.50144785,127.1390016
이마트24 송파거여점,서울 송파구 거여동 3-5,서울 송파구 성내천로18길 1,37.49897421,127.142921
COFFEEis 성내천점,서울 송파구 마천동 40-9 대우빌딩,서울 송파구 거마로 89,37.50097215,127.147571
은빛노인요양전문기관,서울 송파구 마천동 5-16 정흥빌딩,서울 송파구 거마로 99 정흥빌딩,37.50181805,127.147937
메가커피 천호공원점,서울 강동구 천호동 332-2 1층,서울 강동구 올림픽로 715 1층,37.54549516,127.125481
호텔 온,서울 강동구 천호동 328,서울 강동구 선사로 82,37.54598637,127.1219824
